,rain_mm,Q_in_cms,Q_out_cms,dam_el_masl,MW_schedule,operation_mode
2025-12-14 19:00:00,0.0,0.3150238407177936,0.0,330.42565791664407,0.0,recovery
2025-12-14 20:00:00,0.0,0.31502384060142147,0.0,330.42979046079466,0.0,recovery
2025-12-14 21:00:00,0.0,0.31502384048621024,0.0,330.4339230049438,0.0,recovery
2025-12-14 22:00:00,0.0,0.3150238404369982,0.0,330.4380555490922,0.0,recovery
2025-12-14 23:00:00,0.0,0.31502384046532,0.0,330.44218809324104,0.0,recovery
2025-12-15 00:00:00,0.0,0.31502384053603816,0.0,330.4463206373908,0.0,recovery
2025-12-15 01:00:00,0.0,0.3150238405987183,0.0,330.4504531815414,0.0,recovery
2025-12-15 02:00:00,0.0,0.3150238406199127,0.0,330.45458572569225,0.0,recovery
2025-12-15 03:00:00,0.0,0.31502384059787636,0.0,330.45871826984285,0.0,recovery
2025-12-15 04:00:00,0.0,0.3150238405557315,0.0,330.4628508139929,0.0,recovery
2025-12-15 05:00:00,0.0,0.31502384052226245,0.0,330.46698335814244,0.0,recovery
2025-12-15 06:00:00,0.0,0.3150238405142472,0.0,330.4711159022919,0.0,recovery
2025-12-15 07:00:00,0.0,0.3150238405299362,0.0,330.4752484464416,0.0,recovery
2025-12-15 08:00:00,0.0,0.3150238405546128,0.0,330.4793809905916,0.0,recovery
2025-12-15 09:00:00,0.0,0.3150238405721109,0.0,330.48351353474186,0.0,recovery
2025-12-15 10:00:00,0.0,0.31502384057431093,0.0,330.4876460788921,0.0,recovery
2025-12-15 11:00:00,0.0,0.3150238405637433,0.0,330.49177862304225,0.0,recovery
2025-12-15 12:00:00,0.0,0.3150238405495316,0.0,330.49591116719216,0.0,recovery
2025-12-15 13:00:00,0.0,0.3150238405406077,0.0,330.50004371134196,0.0,recovery
2025-12-15 14:00:00,0.0,0.3150238405374159,0.0,330.50417625549176,0.0,recovery
